country,year,indicator,value
EG,1964,gdp,4709245761.67881
EG,1963,gdp,4187146231.56839
EG,1962,gdp,4035462027.39753
EG,1961,gdp,4494575611.21289
EG,1960,gdp,4206270352.22633
EG,2024,population,116538258.0
EG,2023,population,114535772.0
EG,2022,population,112618250.0
EG,2021,population,110957008.0
EG,2020,population,109315124.0
EG,2019,population,107553158.0
EG,2018,population,105682094.0
EG,2017,population,103696057.0
EG,2016,population,101644589.0
EG,2015,population,99597342.0
EG,2014,population,97528654.0
EG,2013,population,95333553.0
EG,2012,population,93161001.0
EG,2011,population,91093059.0
EG,2010,population,89196072.0
EG,2009,population,87501636.0
EG,2008,population,85864789.0
EG,2007,population,84276225.0
EG,2006,population,82700403.0
EG,2005,population,81101004.0
EG,2004,population,79477443.0
EG,2003,population,77853548.0
EG,2002,population,76239137.0
EG,2001,population,74652029.0
EG,2000,population,73083284.0
EG,1999,population,71520954.0
EG,1998,population,69943294.0
EG,1997,population,68431740.0
EG,1996,population,67028048.0
EG,1995,population,65652622.0
EG,1994,population,64285589.0
EG,1993,population,62915681.0
EG,1992,population,61480660.0
EG,1991,population,60028997.0
EG,1990,population,58396618.0
EG,1989,population,56710642.0
EG,1988,population,55187681.0
EG,1987,population,53674435.0
EG,1986,population,52206295.0
EG,1985,population,50734968.0
EG,1984,population,49247334.0
EG,1983,population,47786402.0
EG,1982,population,46407611.0
EG,1981,population,45147224.0
EG,1980,population,43950413.0
EG,1979,population,42818628.0
EG,1978,population,41761431.0
EG,1977,population,40748870.0
EG,1976,population,39795557.0
EG,1975,population,38875327.0
EG,1974,population,37969667.0
EG,1973,population,37102043.0
EG,1972,population,36258328.0
EG,1971,population,35433368.0
EG,1970,population,34623990.0
EG,1969,population,33811615.0
EG,1968,population,32998319.0
EG,1967,population,32196360.0
EG,1966,population,31406541.0
EG,1965,population,30629174.0
EG,1964,population,29858922.0
EG,1963,population,29091869.0
EG,1962,population,28337013.0
EG,1961,population,27600898.0
EG,1960,population,26896479.0
LY,2024,gdp,48487151215.345
LY,2023,gdp,44027664915.187
LY,2022,gdp,43246297921.8499
LY,2021,gdp,35217995647.2862
LY,2020,gdp,46854285440.642
LY,2019,gdp,69254496471.6938
LY,2018,gdp,76686029772.1483
LY,2017,gdp,67157452181.7738
LY,2016,gdp,49912073701.298
LY,2015,gdp,48717501321.3052
LY,2014,gdp,57372355592.022
LY,2013,gdp,75351107029.0605
LY,2012,gdp,92540938129.1315
LY,2011,gdp,48169263294.1007
LY,2010,gdp,75380825062.4216
LY,2009,gdp,60808562033.4191
LY,2008,gdp,86710767415.1371
LY,2007,gdp,68032978390.6007
LY,2006,gdp,60094231606.642
LY,2005,gdp,47334691241.4924
LY,2004,gdp,33122307692.3077
LY,2003,gdp,26265625000.0
LY,2002,gdp,20481889763.7795
LY,2001,gdp,34112093927.254
LY,2000,gdp,38270954138.1128
LY,1999,gdp,35975860857.1164
LY,1998,gdp,27251301398.2813
LY,1997,gdp,30700897874.8704
LY,1996,gdp,27884615384.6154
LY,1995,gdp,25541379186.6458
LY,1994,gdp,28610549763.4685
LY,1993,gdp,30660051910.5037
LY,1992,gdp,33887047909.2746
LY,1991,gdp,31991821264.7118
LY,1990,gdp,28904183602.4818
LY,1989,gdp,25156707899.1462
LY,1988,gdp,24308959591.195
LY,1987,gdp,26697659334.6911
LY,1986,gdp,24180400959.4288
LY,1985,gdp,31530566324.273
LY,1984,gdp,29476109152.7531
LY,1983,gdp,33200520139.9749
LY,1982,gdp,33760146990.5726
LY,1981,gdp,36374353880.3994
LY,1980,gdp,40953924948.7419
